Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,15663,2023-03-10,-0.005249812,0.013357539,0.0124715278,21,100
Market-Adjusted Model,15664,2023-03-10,-0.259106867,-0.248033961,-0.241385527,21,100
Market-Adjusted Model,15666,2023-03-10,-0.082734671,-0.067724029,-0.065013332,21,100
Market-Adjusted Model,15673,2023-03-10,-0.013759723,0.0039740994,0.003961617,21,100
Market-Adjusted Model,15674,2023-03-10,0.0159161898,0.0360206719,0.0336375294,21,100
Market-Adjusted Model,15677,2023-03-10,-0.009465879,0.0081694929,0.0082554605,21,100
Market-Adjusted Model,15678,2023-03-10,-0.014024577,0.0035888295,0.0036967623,21,100
Market-Adjusted Model,15680,2023-03-10,0.0352843808,0.0523662694,0.0530057204,21,100
Market-Adjusted Model,15685,2023-03-10,-0.051483589,-0.03491202,-0.033762249,21,100
Market-Adjusted Model,15686,2023-03-10,-0.031286449,-0.013870309,-0.01356511,21,100
Market-Adjusted Model,15687,2023-03-10,-0.075742275,-0.059928099,-0.058020935,21,100
Market-Adjusted Model,15694,2023-03-10,0.0494804092,0.0680727785,0.0672017488,21,100
Market-Adjusted Model,15695,2023-03-10,-0.005828917,0.0120925057,0.0118924224,21,100
Market-Adjusted Model,15696,2023-03-10,-0.035860281,-0.018685883,-0.018138941,21,100
Market-Adjusted Model,15697,2023-03-10,-0.006947458,0.0109430473,0.0107738813,21,100
Market-Adjusted Model,15698,2023-03-10,0.00806119,0.0256575613,0.0257825296,21,100
Market-Adjusted Model,15699,2023-03-10,-0.006898526,0.0107708116,0.0108228133,21,100
Market-Adjusted Model,15702,2023-03-10,-0.154672626,-0.148534328,-0.136951287,21,100
Market-Adjusted Model,15707,2023-03-10,-0.088352677,-0.073047688,-0.070631337,21,100
Market-Adjusted Model,15718,2023-03-10,-0.014875699,0.0035553065,0.0028456405,21,100
Market-Adjusted Model,15719,2023-03-10,-0.071301252,-0.054341458,-0.053579912,21,100
Market-Adjusted Model,15720,2023-03-10,0.0382629324,0.0583385634,0.055984272,21,100
Market-Adjusted Model,15724,2023-03-10,-0.026980905,-0.009049861,-0.009259565,21,100
Market-Adjusted Model,15725,2023-03-10,-0.032638857,-0.015580106,-0.014917518,21,100
